neighbourhood_cleansed,listing_count,avg_price
Portage Bay,14,204.69
Southeast Magnolia,17,199.39
Westlake,17,176.84
Briarcliff,14,176.57
Sunset Hill,18,176.06
West Queen Anne,65,174.71
Industrial District,6,173.33
Alki,42,171.62
Windermere,10,169.9
Pioneer Square,23,169.26
Montlake,19,168.33
Central Business District,101,164.18
Fauntleroy,10,162.13
Belltown,229,157.48
Madrona,47,157.18
Pike-Market,28,154.87
East Queen Anne,82,154.27
North Queen Anne,54,150.24
Green Lake,54,147.64
Lawton Park,30,147.41
Holly Park,6,147.17
North Admiral,49,146.01
View Ridge,7,139.0
Lower Queen Anne,94,137.96
First Hill,108,136.2
Leschi,53,133.89
South Lake Union,27,132.71
Stevens,119,132.62
Mann,67,131.99
Madison Park,18,130.39
Fairmount Park,28,130.14
Phinney Ridge,73,129.52
Fremont,158,128.9
Whittier Heights,26,128.65
North Beach/Blue Ridge,14,128.29
Arbor Heights,5,126.8
Wallingford,167,126.52
West Woodland,64,124.34
Gatewood,22,124.32
Broadway,392,123.02
Genesee,34,121.97
Minor,135,121.8
Adams,70,121.67
Eastlake,45,119.56
Seaview,12,118.17
Pinehurst,4,117.25
Yesler Terrace,17,116.24
Harrison/Denny-Blaine,14,114.93
Bryant,29,114.9
Cedar Park,8,114.63
Atlantic,53,111.4
Roosevelt,30,111.04
Wedgwood,18,110.44
Interbay,11,109.73
Loyal Heights,52,109.38
Seward Park,44,108.48
Laurelhurst,10,108.4
Matthews Beach,19,107.11
International District,17,104.88
High Point,14,104.36
Haller Lake,15,103.4
Meadowbrook,9,98.67
Mount Baker,49,98.16
North Beacon Hill,77,97.17
Greenwood,86,96.55
Columbia City,58,95.02
Broadview,17,94.71
University District,122,93.64
Roxhill,2,92.5
Brighton,13,91.23
South Park,3,90.0
Ravenna,67,88.69
North College Park,18,88.56
Crown Hill,21,87.67
Dunlap,19,86.63
Highland Park,11,86.27
South Beacon Hill,4,83.25
Bitter Lake,13,83.0
Victory Heights,15,81.47
Maple Leaf,39,80.56
Riverview,8,80.5
Mid-Beacon Hill,30,79.93
North Delridge,32,76.38
Georgetown,8,76.13
South Delridge,12,74.67
Olympic Hills,16,71.69
Rainier Beach,18,68.56
