neighborhood,room_type,listing_count,avg_price
Southeast Magnolia,Entire home/apt,13,238.74
Portage Bay,Entire home/apt,11,229.15
Montlake,Entire home/apt,12,218.61
Briarcliff,Entire home/apt,10,211.7
Westlake,Entire home/apt,12,209.61
West Queen Anne,Entire home/apt,47,209.19
Lawton Park,Entire home/apt,18,208.52
Madrona,Entire home/apt,32,189.61
Leschi,Entire home/apt,30,184.71
Pioneer Square,Entire home/apt,19,184.16
Alki,Entire home/apt,33,182.21
Green Lake,Entire home/apt,37,180.98
Genesee,Entire home/apt,18,175.06
Stevens,Entire home/apt,67,173.0
North Queen Anne,Entire home/apt,40,172.45
North Admiral,Entire home/apt,33,171.01
Gatewood,Entire home/apt,11,167.45
Central Business District,Entire home/apt,94,167.19
Pike-Market,Entire home/apt,25,166.49
East Queen Anne,Entire home/apt,68,165.78
Belltown,Entire home/apt,213,163.27
Wallingford,Entire home/apt,109,162.71
Mann,Entire home/apt,43,158.93
Minor,Entire home/apt,76,155.88
Fremont,Entire home/apt,108,154.73
Whittier Heights,Entire home/apt,18,154.61
West Woodland,Entire home/apt,42,154.26
Phinney Ridge,Entire home/apt,52,151.58
Fairmount Park,Entire home/apt,21,149.62
South Lake Union,Entire home/apt,18,149.13
Lower Queen Anne,Entire home/apt,76,147.98
Madison Park,Entire home/apt,13,147.46
Adams,Entire home/apt,49,146.76
Bryant,Entire home/apt,19,145.0
First Hill,Entire home/apt,93,143.42
Seward Park,Entire home/apt,27,140.96
Broadway,Entire home/apt,277,140.55
Loyal Heights,Entire home/apt,31,139.9
Yesler Terrace,Entire home/apt,11,138.18
Matthews Beach,Entire home/apt,11,137.36
Eastlake,Entire home/apt,32,136.48
North Beach/Blue Ridge,Entire home/apt,11,135.09
Atlantic,Entire home/apt,35,133.4
Roosevelt,Entire home/apt,20,132.11
Mount Baker,Entire home/apt,25,129.0
Greenwood,Entire home/apt,46,125.7
North Beacon Hill,Entire home/apt,38,123.16
Columbia City,Entire home/apt,32,122.56
Ravenna,Entire home/apt,33,122.39
University District,Entire home/apt,74,119.65
Mid-Beacon Hill,Entire home/apt,14,110.64
East Queen Anne,Private room,13,102.92
Maple Leaf,Entire home/apt,21,101.29
Stevens,Private room,36,99.5
Lower Queen Anne,Private room,17,99.06
First Hill,Private room,12,97.17
North Admiral,Private room,16,94.44
Belltown,Private room,11,92.0
North Delridge,Entire home/apt,18,89.0
Broadway,Private room,92,88.64
Madrona,Private room,15,88.0
North Queen Anne,Private room,14,86.79
Mann,Private room,23,84.78
West Queen Anne,Private room,18,84.67
Gatewood,Private room,11,81.18
Eastlake,Private room,12,80.25
Minor,Private room,56,78.88
Phinney Ridge,Private room,20,75.3
Green Lake,Private room,17,75.06
Fremont,Private room,47,74.36
North College Park,Private room,11,74.27
North Beacon Hill,Private room,36,74.22
Sunset Hill,Private room,10,73.4
Atlantic,Private room,18,68.61
Leschi,Private room,23,67.61
West Woodland,Private room,22,67.23
Wallingford,Private room,39,67.21
Mount Baker,Private room,24,66.04
Genesee,Private room,15,64.4
Loyal Heights,Private room,21,64.33
Greenwood,Private room,39,64.0
Adams,Private room,21,63.14
Dunlap,Private room,10,61.7
Maple Leaf,Private room,14,61.64
Columbia City,Private room,26,61.12
North Delridge,Private room,14,60.14
Crown Hill,Private room,12,58.17
Lawton Park,Private room,11,58.09
Bryant,Private room,10,57.7
Seward Park,Private room,17,56.88
Ravenna,Private room,34,55.97
Rainier Beach,Private room,14,55.64
Olympic Hills,Private room,13,55.31
University District,Private room,38,54.11
Mid-Beacon Hill,Private room,16,53.06
University District,Shared room,10,51.4
Broadway,Shared room,23,49.43
Wallingford,Shared room,19,40.63
Stevens,Shared room,16,38.06
