neighborhood,coefficient
Industrial District,85.06906982818118
Pioneer Square,76.34867675753053
Southeast Magnolia,59.78294899095258
Westlake,52.449210236188264
Sunset Hill,52.06222872636572
Holly Park,45.913414286471806
Pike-Market,43.91577766014781
South Lake Union,43.43515033092632
Central Business District,40.779945161483155
West Queen Anne,40.1824870706839
Belltown,38.66131987828276
Portage Bay,38.63389825027957
Lower Queen Anne,34.71393684128563
bedrooms,33.26777087375452
First Hill,32.17019061681488
Alki,31.65354743992043
Montlake,28.86914924871873
East Queen Anne,26.511325904980577
Madrona,25.10059459999941
Broadway,24.602190569521596
bathrooms,24.277261109216127
Harrison/Denny-Blaine,24.158145263333772
Stevens,22.47219320681556
Yesler Terrace,22.344536166071528
Madison Park,21.30817879824559
North Admiral,21.17706568431919
Windermere,21.006669552472008
Interbay,20.166119882958675
Eastlake,18.87837269767631
North Queen Anne,15.928930101308604
Green Lake,14.809481836756087
Fremont,13.665004995877704
Wallingford,11.694791524131999
International District,11.616345958407418
Fauntleroy,11.528138780914574
Lawton Park,10.176984621215823
Minor,8.609857535889923
accommodates,7.980900144635559
Laurelhurst,7.6232852750258715
Roosevelt,7.3107107183826985
Whittier Heights,7.025937859332924
Arbor Heights,6.533378733796361
Briarcliff,6.247519954030219
Mann,6.003754162852998
North Beach/Blue Ridge,4.831763892985148
Gatewood,4.404767073054522
Fairmount Park,3.168441031111992
High Point,1.8904146052727082
Victory Heights,0.8166003117703058
West Woodland,0.4611764269423244
Wedgwood,0.18808626233518966
Loyal Heights,-0.528377548106292
Meadowbrook,-1.4180469927182422
Seaview,-1.4726403804612813
University District,-2.4133704269837675
Phinney Ridge,-2.744222601629014
Genesee,-3.6627598924919047
Atlantic,-4.47414646166423
Cedar Park,-4.868027087743773
North Beacon Hill,-5.274212761161161
Olympic Hills,-5.916034382032841
Bryant,-5.97422350170171
Leschi,-6.348338723959327
Mount Baker,-7.782532965059864
Highland Park,-9.562474770401083
Seward Park,-10.190281436382017
Matthews Beach,-10.753330484541296
View Ridge,-11.00298593895899
Dunlap,-11.639479394538508
Brighton,-11.827338602972553
North College Park,-13.308419778108025
Rainier Beach,-13.72626082625405
Ravenna,-13.896337634609086
Roxhill,-13.997222443343688
Maple Leaf,-16.05721714161943
Greenwood,-16.07091187880402
Riverview,-17.329258976055787
Bitter Lake,-17.415085799678288
Broadview,-18.499465196150627
Georgetown,-19.173882525598522
North Delridge,-21.05722223178187
Columbia City,-21.592144407407773
Mid-Beacon Hill,-23.3568004118955
Crown Hill,-27.23619931113948
South Beacon Hill,-27.237672515661284
Haller Lake,-27.31190281644481
South Delridge,-30.07024359374518
room_type_Private room,-34.282774617620845
Pinehurst,-35.19108209373299
South Park,-50.8720139793296
room_type_Shared room,-71.97764646938994
